Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch10|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Std_Training_Loss_epoch1|Std_Training_Loss_epoch10|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9
AMSGrad|0.61055|0.53111|0.60804|0.60629|0.60168|0.5956400000000001|0.58604|0.57516|0.56208|0.54516|0.00035355339059325196|0.02234733143402634|0.001027618606293209|0.0008672433978480975|0.0037584866931016426|0.00658975636035877|0.00991297690459889|0.014616596351028117|0.01738925594216793|0.02000151105402902
AMSGradCurvature|0.6214999999999999||0.59875|0.58005|0.55585|0.5243|||||0.002121320343559605||0.0006363961030678226|0.0023334523779155463|0.0037476659402886424|0.006929646455628187||||
Adadelta|0.6096199999999999|0.57089|0.60534|0.60136|0.59673|0.593|0.58833|0.58433|0.5796300000000001|0.57496|0.0005245103536738769|0.0026244364474428904|0.0008500980335624113|0.0013574485871172433|0.0016371044899795048|0.0012128936932440204|0.001527561600867366|0.0019442507840068271|0.002007790383038594|0.002421753267549943
AdadeltaCurvature|0.67065||0.6389|0.6252500000000001|0.61885|0.6160000000000001|||||0.01817264427649427||0.00735391052434007|0.002192031021678252|0.00021213203435594088|0.0007071067811865874||||
Adagrad|0.6114200000000001|0.52845|0.60819|0.60418|0.59898|0.5907199999999999|0.57986|0.56779|0.5546599999999999|0.54168|0.0012081206709412507|0.020648392458278972|0.003120701488091715|0.0031741315522692305|0.006361481308975484|0.009671240297339755|0.01381771809429232|0.01751719472721336|0.01941255035051065|0.019908780865626974
AdagradCurvature|0.6132||0.60095|0.59555|0.59015|0.5862|||||0.0012727922061358025||0.0014849242404917434|0.0019091883092037427|0.002192031021678252|0.0024041630560342714||||
Adam|0.61055|0.5328299999999999|0.60766|0.60549|0.60266|0.59633|0.59019|0.57689|0.56396|0.54714|0.00035355339059325196|0.01807066683883026|0.0007862710869809658|0.002118935791591831|0.004198200672775045|0.006030303106441296|0.009635403468459442|0.013757700873813675|0.01607407851169081|0.017383018533423174
AdamCurvature|0.6214999999999999||0.5987|0.5800000000000001|0.55575|0.5241|||||0.002121320343559605||0.0005656854249491757|0.0024041630560342714|0.0037476659402886424|0.006929646455628187||||
AdamW|0.61055|0.53522|0.60771|0.60649|0.60234|0.59718|0.58754|0.5767100000000001|0.56458|0.54901|0.00035355339059325196|0.01664397121415971|0.0008937436868463737|0.0022795954806841415|0.005018233420902872|0.007543474000750598|0.009967970929153278|0.012399323458246517|0.015315409814228883|0.014783132279730191
AdamWCurvature|0.6214999999999999||0.5987|0.58005|0.5558000000000001|0.52435|||||0.002121320343559605||0.0005656854249491757|0.0023334523779155463|0.003818376618407368|0.007000357133746834||||
HeavyBall|0.6238400000000001|0.60795|0.6110800000000001|0.61012|0.60957|0.60922|0.60902|0.6086400000000001|0.6083999999999999|0.60809|0.0016187786891494681|0.00027588242262075347|0.0006663332499583151|0.0005593647190241005|0.0004372896319628526|0.0003457680661304047|0.00045655716448702324|0.00032041639575191243|0.0003771236166328371|0.000390014244754078
HeavyBallCurvature|0.6121916666666667|0.57587|0.6066166666666667|0.603725|0.6001416666666667|0.596325|0.5933900000000001|0.58899|0.58445|0.57995|0.004320029110451852|0.002304608908735328|0.0010061929449286492|0.0013974815009346268|0.002334117833487886|0.0026741608709343412|0.0019490453503645975|0.002168178959403494|0.00231720617219194|0.002342007685726071
NAG|0.6238400000000001|0.60795|0.6110800000000001|0.61012|0.60957|0.60922|0.60902|0.6086400000000001|0.6083999999999999|0.60809|0.0016187786891494681|0.00027588242262075347|0.0006663332499583151|0.0005593647190241005|0.0004372896319628526|0.0003457680661304047|0.00045655716448702324|0.00032041639575191243|0.0003771236166328371|0.000390014244754078
NAGCurvature|0.6121916666666667|0.57587|0.6066166666666667|0.603725|0.6001416666666667|0.596325|0.5933900000000001|0.58899|0.58445|0.57995|0.004320029110451852|0.002304608908735328|0.0010061929449286492|0.0013974815009346268|0.002334117833487886|0.0026741608709343412|0.0019490453503645975|0.002168178959403494|0.00231720617219194|0.002342007685726071
NAdam|0.61163|0.55878|0.60885|0.60757|0.60503|0.60209|0.59639|0.58922|0.57994|0.57069|0.0019872090982077954|0.014683308740047488|0.0017683953806268166|0.002286700680019119|0.003235926794941774|0.005396387680661914|0.008226576174542788|0.011007048246969353|0.013756630724450233|0.014820964880870608
NAdamCurvature|0.6214999999999999||0.6048|0.59125|0.56255|0.52665|||||0.00042426406871192107||0.004101219330881995|0.0021920310216783307|0.0037476659402887603|0.009970205614730322||||
NAdamW|0.61139|0.56626|0.6093900000000001|0.60804|0.60661|0.60457|0.60131|0.59586|0.58647|0.5772999999999999|0.001548081249662167|0.01090088681407771|0.002016294731542121|0.0008058122196475616|0.0019801515093547375|0.002293977622674941|0.0034517145498046795|0.004957866924842206|0.007789886605935505|0.009332857130708827
NAdamWCurvature|0.6214999999999999||0.6048|0.58955|0.56375|0.5256000000000001|||||0.00042426406871192107||0.004101219330881995|0.004171930009000642|0.005727564927611032|0.009475230867899753||||
RMSProp|0.63417|0.60846|0.6165900000000001|0.61368|0.61063|0.61098|0.61033|0.6094|0.60841|0.60829|0.021930498803670182|0.0022780108281861646|0.006338497894261334|0.005583069645514637|0.0018469494368341165|0.003124028737952899|0.002995570804445205|0.0016726559053725806|0.0008824838682819265|0.0008425490424235684
RMSPropCurvature|0.63435||0.60055|0.5798|0.5506500000000001|0.51525|||||7.071067811864696e-05||0.0045961940777125235|0.0031112698372207804|0.003464823227814133|0.006717514421272247||||
RMSPropMomentum|0.63491|0.6079399999999999|0.62618|0.61368|0.6120099999999999|0.60964|0.609|0.6092444444444445|0.60843|0.60775|0.023752588163070677|0.0013259797216481778|0.04220878792121112|0.007484769721092128|0.00454812537694867|0.0011246727919216667|0.0010044346115546117|0.0016666666666667004|0.0007056124211554698|0.0006948221195225157
RMSPropMomentumCurvature|0.63535||0.6026|0.5831999999999999|0.55355|0.5148999999999999|||||0.0012020815280171554||0.004242640687119289|0.005798275605729718|0.00530330085889915|0.01088944443027277||||
SimpleSGD|0.66191|0.6121800000000001|0.63046|0.62166|0.61792|0.61592|0.61473|0.61375|0.61308|0.61253|0.008534693901951025|0.0006528569691917251|0.0026487733009829453|0.0015174540080894422|0.00117832272508193|0.0009449279807947845|0.000954579604968695|0.0008369919686326768|0.0008323994767471506|0.0008380532998164832
SimpleSGDCurvature|0.6112500000000001|0.58947|0.60777|0.60634|0.60481|0.60286|0.60079|0.59814|0.59533|0.5923700000000001|0.00046007245806143065|0.0017288724649319694|0.00040290610982377195|0.0005796550698475972|0.0008332666639998136|0.001166380917386965|0.0013939950581771327|0.0017481418706729855|0.0016990520232700067|0.0017550245329086144
